Country Name,Income Group,Country Code,Year,CHPP,Life_Expectancy
Afghanistan,Low income,AFG,2019,65.80603027,65.173
Albania,Upper middle income,ALB,2019,,78.686
Algeria,Lower middle income,DZA,2019,248.2058716,77.063
American Samoa,Upper middle income,ASM,2019,,0
Andorra,High income,AND,2019,2744.194336,0
Angola,Lower middle income,AGO,2019,71.32600403,61.487
Antigua and Barbuda,High income,ATG,2019,760.2649536,77.146
Argentina,Upper middle income,ARG,2019,945.9919434,76.813
Armenia,Upper middle income,ARM,2019,523.9990845,75.224
Aruba,High income,ABW,2019,,76.434
Australia,High income,AUS,2019,5427.462402,83.2
Austria,High income,AUT,2019,5242.183105,81.19268293
Azerbaijan,Upper middle income,AZE,2019,193.1088409,73.123
"Bahamas, The",High income,BHS,2019,2004.616333,74.053
Bahrain,High income,BHR,2019,940.3956909,77.419
Bangladesh,Lower middle income,BGD,2019,45.85716248,72.868
Barbados,High income,BRB,2019,1143.322021,79.308
Belarus,Upper middle income,BLR,2019,399.3970947,74.22682927
Belgium,High income,BEL,2019,4960.393555,80.79512195
Belize,Lower middle income,BLZ,2019,293.4125977,74.754
Benin,Lower middle income,BEN,2019,29.12529182,62.077
Bermuda,High income,BMU,2019,,82.05609756
Bhutan,Lower middle income,BTN,2019,115.9807587,72.08
Bolivia,Lower middle income,BOL,2019,245.9234772,71.771
Bosnia and Herzegovina,Upper middle income,BIH,2019,553.822937,77.545
Botswana,Upper middle income,BWA,2019,481.5330505,69.793
Brazil,Upper middle income,BRA,2019,853.3879395,76.084
British Virgin Islands,High income,VGB,2019,,0
Brunei Darussalam,High income,BRN,2019,671.5626831,75.998
Bulgaria,Upper middle income,BGR,2019,697.8963623,73.60731707
Burkina Faso,Low income,BFA,2019,42.3445282,61.981
Burundi,Low income,BDI,2019,20.56754112,61.916
Cabo Verde,Lower middle income,CPV,2019,177.8902741,73.166
Cambodia,Lower middle income,KHM,2019,113.3104401,70.054
Cameroon,Lower middle income,CMR,2019,53.99584961,59.626
Canada,High income,CAN,2019,5048.372559,81.74878049
Caribbean small states,,CSS,2019,646.7514988,73.87090598
Cayman Islands,High income,CYM,2019,,0
Central African Republic,Low income,CAF,2019,37.19958115,53.679
